_id,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,Grant_Existing,Grant_FY,Grant_Future,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
209,Transportation Department,Roslindale Gateway,Design relative to the Arboretum Road Green Link project.,Parks and Recreation Department,In Design,Roslindale,0,0,0,50000,0,0,0.00,0,0,0.00,50000.00,0,0,0.00,0,50000
210,Transportation Department,Safe and Reliable Streets,"Support anti-congestion efforts Citywide through data collection, safety and public realm improvements. Includes staff support to augment operational needs. Funded by state TNC revenue.",Transportation Department,Annual Program,Citywide,0,0,0,6662107,1100000,0,0.00,0,0,0.00,3056137.00,1200000,1500000,2005970.00,0,7762107
211,Transportation Department,Connect Downtown: Public Garden Crossings,"Advance planning and design for a Go Boston 2030 priority project that would extend the Southwest Corridor, via on-street bike facilities, to connect with major destinations in Downtown and Beacon Hill.",Transportation Department,In Construction,Multiple Neighborhoods,0,0,0,3250000,0,0,0.00,0,0,0.00,250000.00,0,500000,2500000.00,0,3250000
212,Transportation Department,Bike Network Project,Maximize usage in existing high volume bike lanes via construction of bike lane extensions and connections with Citywide key bike corridors. Implement new bike corridor accelerator to complete large parts of downtown and outlying networks.,Transportation Department,Annual Program,Citywide,14300000,0,0,3000000,0,0,4859502.00,3500000,3000000,2940498.00,1000000.00,1000000,1000000,0.00,0,17300000
213,Transportation Department,Traffic Signal Construction at 5 locations,Design and construct safety improvements to various traffic signals throughout the City.,Transportation Department,In Design,Multiple Neighborhoods,900000,0,0,4220000,1880000,0,537466.00,60555,0,301979.00,0.00,0,1000000,5100000.00,0,7000000
214,Transportation Department,Transportation Action Plan Implementation,Create conceptual designs for key projects identified from planning studies and action plans.,Transportation Department,Annual Program,Citywide,300000,0,0,0,0,0,0.00,0,0,300000.00,0.00,0,0,0.00,0,300000
215,Transportation Department,Vision Zero,"Implement roadway design changes to reduce speeds, control movements, and improve the visibility of vulnerable users.",Transportation Department,Annual Program,Citywide,17842192,0,2077808,9725000,0,0,12733963.00,3000000,1000000,3186037.00,2059933.00,3665067,4000000,0.00,0,29645000
216,Transportation Department,Vision Zero: Neighborhood Slow Streets,Design and construct Neighborhood Slow Street zones throughout the City.,Transportation Department,In Construction,Multiple Neighborhoods,0,0,0,14400000,0,0,0.00,0,0,0.00,5400251.00,2089468,5000000,1910281.00,0,14400000
217,Transportation Department,Bikeshare Dock Replacement,"Replace portions of City's bikeshare system, including docks, kiosks and bikes.",Transportation Department,Implementation Underway,Citywide,0,0,0,1771100,0,500000,0.00,0,0,0.00,999637.00,1250000,21463,0.00,0,2271100
218,Transportation Department,Mission Hill Transportation Planning,Planning for pedestrian improvements.,Transportation Department,Study Underway,Mission Hill,300000,0,0,0,0,0,44094.00,130906,125000,0.00,0.00,0,0,0.00,0,300000
219,Transportation Department,Lost Village Streets,"Design and construct improvements to roads, sidewalks and signals in the Lost Village section of Charlestown.",Transportation Department,In Design,Charlestown,0,0,0,1600000,0,0,0.00,0,0,0.00,0.00,0,1250000,350000.00,0,1600000
220,Transportation Department,Blue Hill Avenue Multimodal Corridor,"On Blue Hill Ave., the creation of center-running dedicated bus lanes, redesigned Mattapan Square for improved bus connection to the MBTA station, protected bike lanes, signal changes, and sidewalks.",Transportation Department,In Design,Multiple Neighborhoods,18224000,0,0,0,0,0,0.00,224000,1000000,17000000.00,0.00,0,0,0.00,26232000,44456000
221,Transportation Department,Southwest Neighborhood Transit Action Plan,Study and develop a Transportation Action Plan for the southwest neighborhoods of Boston.,Transportation Department,Study Underway,Multiple Neighborhoods,1600000,0,0,0,0,0,0.00,200000,400000,1000000.00,0.00,0,0,0.00,0,1600000
222,Transportation Department,Fairmount Line Urban Rail Study,Commission a technical analysis on transforming the Fairmount Commuter Rail Line to a subway-like service level.,Transportation Department,Study Underway,Multiple Neighborhoods,0,0,0,790000,0,0,0.00,0,0,0.00,0.00,0,0,790000.00,0,790000
223,Transportation Department,Safe Routes to Schools,Provide ROW services to support a MassDOT funded SRTS project in the vicinity of the David Ellis School in Roxbury.,Transportation Department,In Design,Multiple Neighborhoods,100000,0,0,0,0,0,0.00,0,0,100000.00,0.00,0,0,0.00,2737728,2837728
224,Transportation Department,Norwell Street Square,Develop dead-end section of Park Street into a plaza in conjunction with the development of a park in the adjacent lots.,Parks and Recreation Department,In Design,Dorchester,220000,0,0,0,0,0,0.00,10000,0,210000.00,0.00,0,0,0.00,0,220000
225,Transportation Department,Transportation Planning,"Develop and test new mobility strategies that pertain to transportation demand management, electric vehicles, and neighborhood mobility hubs.",Transportation Department,Annual Program,Citywide,1139813,0,0,350000,0,0,0.00,0,250000,889813.00,0.00,0,0,350000.00,0,1489813
226,Transportation Department,Traffic Signals,"Provide traffic signal design services, install or upgrade existing traffic signals and controls, install new control boxes and battery backup equipment.",Transportation Department,Annual Program,Citywide,5125000,6310000,0,0,0,0,195925.00,3500000,3500000,4239075.00,0.00,0,0,0.00,0,11435000
227,Transportation Department,Crosswalks and Lane Markings,Provide additional crosswalk and lane markings.,Transportation Department,Annual Program,Citywide,0,0,0,5725000,0,0,0.00,0,0,0.00,0.00,2075888,1500000,2149112.00,0,5725000
228,Transportation Department,Accessible Pedestrian Signals,"Purchase and install APS devices for new construction, major reconstructions, and by request as outlined in the City's response to the federal mandate.",Transportation Department,Annual Program,Citywide,1500000,0,0,0,0,0,0.00,500000,500000,500000.00,0.00,0,0,0.00,0,1500000
229,Transportation Department,Roxbury Resilient Transportation Corridors,"Plan and design a transformation of three of Roxbury's central transportation corridors, Melnea Cass Blvd., Malcolm X Blvd., and Warren Street, into multimodal routes that center transit and active transportation.",Transportation Department,To Be Scheduled,Roxbury,12500000,0,0,20000000,0,0,0.00,0,1000000,11500000.00,0.00,0,0,20000000.00,0,32500000
230,Transportation Department,MLK Jr. Boulevard,"Design and reconstruct MLK Jr. Blvd. in Roxbury to widen and improvement sidewalks, add separated bike lanes, and incorporate green infrastructure to this important Roxbury transportation route.",Transportation Department,To Be Scheduled,Roxbury,3800000,0,0,0,0,0,0.00,0,0,3800000.00,0.00,0,0,0.00,0,3800000
231,Transportation Department,Tremont/Columbus Phases I & II,"Incorporate green infrastructure components to the State's continuation of the center-running bus lane on Columbus Ave., and construct traffic calming infrastructure on the streets adjacent to Columbus Ave.",Transportation Department,To Be Scheduled,Multiple Neighborhoods,3300000,0,0,0,0,0,0.00,0,0,3300000.00,0.00,0,0,0.00,0,3300000
232,Transportation Department,Thoreau Path / Canal Street,"Pedestrianization of Canal Street in the Bulfinch Triangle creating a walkable route from Haymarket and Government Center to North Station, pedestrian improvements for the Thoreau Path, and a bike lane between Causeway Street and Commercial Street.",Transportation Department,To Be Scheduled,Downtown/Government Center,0,0,0,4785000,0,0,0.00,0,0,0.00,0.00,0,100000,4685000.00,0,4785000
233,Transportation Department,Go Boston 2030 Update,Update Boston's Go Boston 2030 master plan to assess the achievements thus far and realign priorities for the next decade of planning work.,Transportation Department,Study Underway,Citywide,0,0,0,250000,0,0,0.00,0,0,0.00,0.00,0,125000,125000.00,300000,550000
234,Transportation Department,Safety Surge,"Design, engineering, and construction work for significantly increased roadway safety infrastructure across the city, focused on speed hump construction, traffic signal work at intersections, and raised crosswalks or other ADA ramp work.",Transportation Department,In Construction,Citywide,0,0,0,12595000,0,0,0.00,0,0,0.00,0.00,2500000,5600000,4495000.00,0,12595000
235,Transportation Department,Parking Meter Replacement,Purchase new parking meters and upgrade existing multi-space parking meters.,Transportation Department,Implementation Underway,Citywide,0,0,0,3500000,3500000,0,0.00,0,0,0.00,0.00,0,3500000,3500000.00,0,7000000
236,Transportation Department,E-bike Purchase,Purchase and deploy e-assist bicycles in the Boston area BlueBike bikeshare system.,Transportation Department,Implementation Underway,Citywide,0,0,0,1350000,0,0,0.00,0,0,0.00,0.00,1000000,350000,0.00,0,1350000
237,Public Works Department,ADA/AAB Pedestrian Ramps,Install or reconstruct pedestrian ramps to conform to current Americans With Disabilities Act (ADA) and Architectural Access Board (AAB) regulations.,Public Works Department,Annual Program,Citywide,12850000,0,0,23900000,0,0,4480099.00,3369901,5000000,0.00,14362469.00,4537531,5000000,0.00,0,36750000
238,Public Works Department,Amory Street Extension and Canterbury Street,"Reconstruct road, sidewalks, and lighting from Amory Street to the end and also sidewalk and safety improvements at intersection of Canterbury Street, Neponset Ave., and Bourne Street.",Public Works Department,In Construction,Multiple Neighborhoods,1705000,0,0,0,0,0,0.00,200000,1000000,505000.00,0.00,0,0,0.00,0,1705000
239,Public Works Department,Boylston Street Sidewalks,Design and construct sidewalk and/or streetscape improvements on Boylston Street.,Public Works Department,Annual Program,Back Bay,0,1239000,0,3761000,0,0,0.00,0,239000,1000000.00,1775751.00,500000,1000000,485249.00,0,5000000
240,Public Works Department,Bridge Repairs,Ongoing repairs at various City-owned bridges as needed to bring the portfolio of 40 bridges to a state of good repair. This includes proactive maintenance and annual maintenance.,Public Works Department,Annual Program,Citywide,37500000,0,0,0,0,0,18380301.00,7000000,5000000,7119699.00,0.00,0,0,0.00,0,37500000
241,Public Works Department,Cambridge Street Bridge,"Rehabilitate bridge, performing repairs as needed.",Public Works Department,To Be Scheduled,Charlestown,3000000,0,0,0,0,0,0.00,0,0,3000000.00,0.00,0,0,0.00,16632000,19632000
242,Public Works Department,Commonwealth Avenue Phase 3 and 4,"Design and reconstruct Commonwealth Ave. from Packard’s Corner to Kelton Street, with the addition of a cycle track. State construction funding anticipated.",Public Works Department,In Design,Allston/Brighton,2500000,0,0,0,0,0,1040593.00,125000,125000,1209407.00,0.00,0,0,0.00,0,2500000
243,Public Works Department,Commonwealth Avenue Phase 3B,Construction of pedestrian and bicyclist safety measures on Commonwealth Ave. at and near the intersection of Harvard Ave.,Public Works Department,In Design,Allston/Brighton,0,0,10000000,1000000,0,0,0.00,0,0,10000000.00,0.00,0,0,1000000.00,0,11000000
244,Public Works Department,Congress Street and Sleeper Street,"Reconstruct Congress Street from Fort Point Channel to West Service Road and Sleeper Street to Complete Streets standards where applicable, in order to provide safe multimodal streets, including; new sidewalks, street lights, trees and street furniture.",Public Works Department,In Design,South Boston,3000000,0,0,6000000,0,0,0.00,0,0,3000000.00,0.00,100000,2500000,3400000.00,0,9000000
245,Public Works Department,Cummins Highway,"Reconstruct road, make traffic improvements, install new pedestrian ramps, enhance bike access, install new tree plantings, and improve lighting from River Street in Mattapan Square to Harvard Street.",Public Works Department,In Construction,Mattapan,0,0,0,31306311,0,0,0.00,0,0,0.00,0.00,300000,6000000,25006311.00,0,31306311
246,Public Works Department,District Yard Improvements,Facility assessment and improvements to the City's district yards utilized by the Public Works Department.,Public Works Department,To Be Scheduled,Multiple Neighborhoods,1200000,0,0,0,0,0,0.00,0,0,1200000.00,0.00,0,0,0.00,0,1200000
247,Public Works Department,Downtown Crossing,"Design improvements to the Washington Street/Summer Street/Winter Street intersections, including reconstruction of the roadway, implementation of a pedestrian zone or shared street, and security improvements.",Public Works Department,In Design,Downtown/Government Center,1700000,0,0,0,0,0,411961.00,188039,100000,1000000.00,0.00,0,0,0.00,0,1700000
248,Public Works Department,East Eagle Street Shoreline,Shoreline stabilization along Chelsea Creek near East Eagle Street.,Public Works Department,In Design,East Boston,538000,0,0,0,0,0,0.00,0,0,538000.00,0.00,0,0,0.00,646000,1184000
249,Public Works Department,Columbia Road,"Develop a master plan to create an active, green transportation corridor along Columbia Road that connects Franklin Park and the waterfront, via the historic Emerald Necklace.",Public Works Department,In Design,Multiple Neighborhoods,0,0,0,11000000,0,0,0.00,0,0,0.00,0.00,250000,250000,10500000.00,0,11000000
250,Public Works Department,Footpath and Stairways,Conduct assessment of footpaths and stairways throughout the City followed by reconstruction.,Public Works Department,Annual Program,Citywide,3530000,0,0,0,0,0,392813.00,107187,250000,2780000.00,0.00,0,0,0.00,0,3530000
251,Public Works Department,Harrison Avenue Improvements,Road reconstruction improvements to Harrison Ave. between East Berkeley Street and Herald Street.,Public Works Department,In Design,South End,0,0,0,2222050,2000000,0,0.00,0,0,0.00,100000.00,0,500000,3622050.00,0,4222050
252,Public Works Department,McArdle Bridge,Design phase of bridge structure rehabilitation.,Public Works Department,In Design,East Boston,15000000,0,0,0,0,0,0.00,500000,1000000,13500000.00,0.00,0,0,0.00,0,15000000
253,Public Works Department,New Market One Ways,"Redesign Massachusetts Ave. between Melnea Cass Blvd. and Theodore Glynn Way for safety improvements that improve walking, biking, and public transit access.",Public Works Department,To Be Scheduled,Roxbury,850000,0,0,0,0,0,0.00,30000,0,820000.00,0.00,0,0,0.00,0,850000
254,Public Works Department,North Washington Street Bridge,Design and construction of a new bridge that will replace the existing structure. State and federal construction funds awarded.,Public Works Department,In Construction,Charlestown,9184468,0,0,35270000,0,0,5673066.00,3511402,0,0.00,15285282.00,6472718,2500000,11012000.00,178067519,222521987
255,Public Works Department,Northern Avenue Bridge,Re-build the bridge and preserve certain elements of the historic structure while creating a transformative multi-modal bridge that prioritizes pedestrians and shared public space.,Public Works Department,In Design,South Boston,10000000,0,0,21100000,0,0,0.00,625000,2500000,6875000.00,9012321.00,0,0,12087679.00,0,31100000
256,Public Works Department,Retaining Walls,Construction funds to support a multi-year capital improvement program to repair and maintain retaining walls in the public right-of-way.,Public Works Department,Annual Program,Citywide,2200000,0,0,0,0,0,565504.00,0,0,1634496.00,0.00,0,0,0.00,0,2200000
257,Public Works Department,Sidewalk Reconstruction,Response to 311 requests for sidewalk and ramp repairs and reconstruction.,Public Works Department,Annual Program,Citywide,6800000,0,0,0,0,0,1910921.00,2389079,2500000,0.00,0.00,0,0,0.00,0,6800000
258,Public Works Department,State Street,"Reconstruct road, sidewalks, and lighting from Congress Street to Rose Kennedy Greenway.",Public Works Department,In Design,Downtown/Government Center,1500000,3500000,0,2700000,0,0,0.00,0,0,5000000.00,0.00,0,1000000,1700000.00,0,7700000
259,Public Works Department,Storm Water Pollution Study,Engineering study to identify methods to eliminate storm water pollution.,Public Works Department,To Be Scheduled,Citywide,150000,0,0,0,0,0,0.00,0,0,150000.00,0.00,0,0,0.00,0,150000
260,Public Works Department,Street Light Gas Lamps,"Using utility subsidies, this program is designed to retrofit solar powered timers to activate gas lamp street lights.",Public Works Department,Annual Program,Multiple Neighborhoods,1162500,0,900000,187500,0,0,247000.00,22735,0,1792765.00,64250.00,23250,0,100000.00,0,2250000
261,Public Works Department,Street Light LED Conversion,A City-wide project to convert mercury and sodium vapor streetlights to light emitting diode (LED) lights.,Public Works Department,Annual Program,Citywide,4540000,0,0,0,0,0,701042.00,595750,0,3243208.00,0.00,0,0,0.00,0,4540000
262,Public Works Department,Street Lighting Assessment,Implement a system wide structural assessment on all City street lighting infrastructure.,Public Works Department,To Be Scheduled,Citywide,750000,0,0,0,0,0,13500.00,10500,0,726000.00,0.00,0,0,0.00,0,750000
263,Public Works Department,Sullivan Square / Rutherford Avenue,Engineering and design services to provide for corridor-wide transportation improvements. State and federal funding anticipated.,Public Works Department,In Design,Charlestown,4206000,3500000,0,4409403,0,0,3916079.00,250000,450000,3089921.00,3700142.00,584261,125000,0.00,197759449,209874852
264,Public Works Department,Summer Street Phase 2,"Continuation of Crossroads Initiative at Summer Street to improve roadway, sidewalks, street lighting, and bicyclist safety. Phase 1 scope included area from Fort Point Channel to Boston Wharf Road. Phase 2 will extend from BCEC towards South Boston.",Public Works Department,To Be Scheduled,South Boston,0,0,0,600000,0,0,0.00,0,0,0.00,0.00,0,0,600000.00,0,600000
265,Public Works Department,Washington Street / Traveler Street,"Roadway improvements to Washington Street from East Berkeley Street to Herald Street, and Traveler Street between Washington Street and Harrison Ave.. Improvements include resurfacing, pavement markings, and new traffic signals.",Public Works Department,In Design,South End,0,0,0,1750000,0,0,0.00,0,0,0.00,471753.00,282316,0,995931.00,0,1750000
266,Public Works Department,Whittier Street Housing Development Roadways,Reconstruct roads and sidewalks in the Whittier Street housing development in conjunction with a $30M HUD grant to revitalize the development and surrounding neighborhood.,Boston Housing Authority,In Design,Roxbury,0,0,0,1000000,0,0,0.00,0,0,0.00,0.00,0,1000000,0.00,0,1000000
267,Public Works Department,Massachusetts Avenue and Melnea Cass Boulevard Intersection,"Re-design the intersection of Massachusetts Ave. and Melnea Cass Blvd. to improve pedestrian, bicycle and vehicular safety.",Public Works Department,To Be Scheduled,Multiple Neighborhoods,1500000,0,0,0,0,0,0.00,0,0,1500000.00,0.00,0,0,0.00,0,1500000
268,Public Works Department,Fleet Electrification Building Assessment,Conduct a building assessment to determine what infrastructure is needed for fleet electrification.,Public Facilities Department,To Be Scheduled,Citywide,250000,0,0,0,0,0,0.00,0,0,250000.00,0.00,0,0,0.00,0,250000
269,Public Works Department,Street Lighting Maintenance Facility,A study to determine a location for a permanent public works street lighting facility.,Public Facilities Department,To Be Scheduled,Citywide,2500000,0,0,0,0,0,0.00,0,0,2500000.00,0.00,0,0,0.00,0,2500000
270,Public Works Department,Street Lighting Infrastructure Upgrades,Replacement of street lighting infrastructure to promote safety and well-being.,Public Works Department,Annual Program,Citywide,4550000,0,0,0,0,0,892454.00,500000,0,3157546.00,0.00,0,0,0.00,0,4550000
271,Public Works Department,Inventory Management Program,Purchase and implement an inventory management system for street lighting tools and supplies.,Public Works Department,To Be Scheduled,Citywide,750000,0,0,0,0,0,0.00,0,0,750000.00,0.00,0,0,0.00,0,750000
272,Public Works Department,Central Maintenance Facility Complex,"Continued renovations to the building, garage, and grounds.",Public Facilities Department,In Construction,South End,6969000,0,0,0,0,0,1737556.00,3460450,1500000,270994.00,0.00,0,0,0.00,0,6969000
273,Public Works Department,Street Lighting Installation,Installation of street lights in various locations.,Public Works Department,Annual Program,Citywide,6000000,0,3000000,0,0,0,537584.00,3000000,3000000,2462416.00,0.00,0,0,0.00,0,9000000
274,Public Works Department,Roadway Reconstruction and Resurfacing,"Includes road reconstruction, roadway resurfacing, sidewalk reconstruction, and traffic signal replacement where appropriate.",Public Works Department,Annual Program,Citywide,20400000,0,0,18602992,0,3924113,2542178.00,7337862,6000000,4519960.00,7550375.00,5000000,6000000,3976730.00,0,42927105
275,Public Works Department,Chinatown Sidewalk Improvements,Improve the condition of sidewalks in historic Chinatown neighborhood.,Public Works Department,In Design,Chinatown,500000,2500000,0,0,0,0,0.00,125000,375000,2500000.00,0.00,0,0,0.00,0,3000000
276,Public Works Department,Hyde Park Avenue Median,Extend median on Hyde Park Ave. at Neponset Avenue and Florian Street to make the temporary closures permanent.,Public Works Department,To Be Scheduled,Dorchester,200000,0,0,0,0,0,0.00,0,200000,0.00,0.00,0,0,0.00,0,200000
277,Public Works Department,Bussey Street Reconstruction Phase I,"Phase I of a reconstruction of Bussey Street in the Arboretum, which will improve sidewalk conditions, add lighting to the street, and explore adding active transportation infrastructure.",Public Works Department,In Design,Multiple Neighborhoods,250000,0,0,0,0,0,0.00,0,0,250000.00,0.00,0,0,0.00,0,250000
278,Public Works Department,Green Infrastructure Existing Conditions Assessments,"Design, engineering, and construction work to implement green infrastructure solutions in targetable locations.",Public Works Department,Study Underway,Citywide,750000,850000,0,0,0,0,0.00,200000,500000,900000.00,0.00,0,0,0.00,0,1600000
279,Public Works Department,Moon Island Causeway,Engineering and construction work to ensure the causeway to Moon Island remains in a state of good repair.,Public Works Department,In Design,Harbor Islands,2000000,0,0,0,0,0,0.00,250000,1600000,150000.00,0.00,0,0,0.00,0,2000000
280,Public Works Department,Walworth Street Bridge,Engineering and construction work to ensure the Walworth Street Bridge remains in a state of good repair.,Public Works Department,To Be Scheduled,Roslindale,0,0,0,3500000,0,0,0.00,0,0,0.00,0.00,100000,250000,3150000.00,0,3500000
281,Public Works Department,Austin Street Bridge,Engineering and construction work to ensure the Austin Street Bridge remains in a state of good repair.,Public Works Department,To Be Scheduled,Charlestown,5000000,0,0,0,0,0,0.00,0,100000,4900000.00,0.00,0,0,0.00,0,5000000
282,Public Works Department,Blakemore Street Bridge,Engineering and construction work to ensure the Blakemore Street Bridge remains in a state of good repair.,Public Works Department,To Be Scheduled,Roslindale,0,0,0,750000,0,0,0.00,0,0,0.00,0.00,0,0,750000.00,0,750000
283,Public Works Department,Belgrade Avenue Bridge,Engineering and construction work to ensure the Belgrade Ave. Bridge remains in a state of good repair.,Public Works Department,To Be Scheduled,Roslindale,3000000,0,0,0,0,0,0.00,100000,100000,2800000.00,0.00,0,0,0.00,0,3000000
284,Public Works Department,Sullivan Square Underpass,Engineering and construction work to ensure the underpass at Sullivan Square remains in a state of good repair.,Public Works Department,In Construction,Charlestown,4030000,0,0,2000000,0,0,0.00,1500000,2280000,250000.00,0.00,1500000,500000,0.00,0,6030000
285,Public Works Department,Summer Street Bridge at Fort Point Channel,Engineering and construction work to ensure the Summer Street Bridge over Fort Point Channel remains in a state of good repair.,Public Works Department,To Be Scheduled,South Boston,5000000,0,15000000,0,0,0,0.00,250000,250000,19500000.00,0.00,0,0,0.00,0,20000000
286,Public Works Department,Massachusetts Ave. / Huntington Ave. Bridge,Engineering and construction work to ensure the overpass bridge at the intersection of Massachusetts Ave. and Huntington Ave. remains in a state of good repair.,Public Works Department,To Be Scheduled,Fenway-Kenmore,2000000,0,0,0,0,0,0.00,0,0,2000000.00,0.00,0,0,0.00,0,2000000
287,Public Works Department,Shawmut Avenue Bridge,Engineering and construction work to ensure the Shawmut Ave. Bridge remains in a state of good repair.,Public Works Department,To Be Scheduled,Multiple Neighborhoods,0,0,0,1100000,0,0,0.00,0,0,0.00,0.00,0,0,1100000.00,0,1100000
288,Public Works Department,Nottingham Path,Engineering and construction work to ensure the Nottingham Path remains in a state of good repair.,Public Works Department,In Construction,Allston/Brighton,1500000,0,0,0,0,0,0.00,670000,170000,660000.00,0.00,0,0,0.00,0,1500000
289,Public Works Department,Wellington Hill Street Stairs,Engineering and construction work to ensure the Wellington Hill Street stairs remains in a state of good repair.,Public Works Department,In Construction,Mattapan,1950000,0,0,0,0,0,0.00,400000,1400000,150000.00,0.00,0,0,0.00,0,1950000
290,Boston Public Schools,Accreditation Improvements at Various Schools,Renovate or make building improvements necessary to meet or maintain school building accreditation standards.,Boston Public Schools,Annual Program,Citywide,3000000,0,1000000,0,0,0,753630.00,409750,0,2836620.00,0.00,0,0,0.00,0,4000000
291,Boston Public Schools,Bathroom Renovations at Various Schools,"Upgrade bathrooms at various schools, including fixtures, flooring, partitions, lighting, and paint.",Boston Public Schools,In Construction,Citywide,46000000,0,0,0,0,0,3528749.00,39000000,3471251,0.00,0.00,0,0,0.00,0,46000000
292,Boston Public Schools,Blackstone School Renovation,Study and design of major renovations to the Blackstone School.,Public Facilities Department,To Be Scheduled,South End,20000000,0,0,0,0,0,0.00,0,0,20000000.00,0.00,0,0,0.00,0,20000000
293,Boston Public Schools,BPS: 21st Century Schools Fund,Acquire new school furniture and technology to promote 21st century learning.,Boston Public Schools,Annual Program,Citywide,4103029,0,0,0,0,0,1621991.00,250000,0,2231038.00,0.00,0,0,0.00,0,4103029
294,Boston Public Schools,BPS: Capital Maintenance,"Core maintenance work in various schools, including electrical, HVAC, masonry, and window repairs.",Boston Public Schools,Annual Program,Citywide,17081160,0,0,0,0,0,1495664.00,506486,0,15079010.00,0.00,0,0,0.00,0,17081160
295,Boston Public Schools,BPS: MSBA ARP Reserve,Reserve for future MSBA Accelerated Repair Program projects.,Public Facilities Department,Annual Program,Citywide,0,0,30000000,0,0,0,0.00,0,0,30000000.00,0.00,0,0,0.00,0,30000000
296,Boston Public Schools,Carter School,"Design and construct, in conjunction with the MSBA, a new school building that include spaces for beneficial and critical instructional activities, including aquatic, physical, creative arts, and multi-sensory therapies.",Public Facilities Department,In Construction,South End,80784730,0,0,30595455,0,0,8236486.00,45000000,20000000,7548244.00,971865.00,5000000,18000000,6623590.00,0,111380185
297,Boston Public Schools,Curley K-8 School,"Rebuild exterior bridge and walkway that connects the two school buildings, replace doors, install lighting, and add an accessible toilet room.",Public Facilities Department,In Construction,Jamaica Plain,3570000,0,0,0,0,0,1676975.00,500000,1000000,393025.00,0.00,0,0,0.00,0,3570000
298,Boston Public Schools,Drinking Water Upgrades at Various Schools,Upgrade plumbing and fixtures to expand the availability of drinking water at various schools.,Boston Public Schools,In Construction,Citywide,10360000,0,0,0,0,0,159447.00,2000000,595983,7604570.00,0.00,0,0,0.00,0,10360000
299,Boston Public Schools,Edwards School Renovation,Design and full renovation of building for use by the Horace Mann School.,Public Facilities Department,To Be Scheduled,Charlestown,500000,0,0,0,0,0,0.00,0,0,500000.00,0.00,0,0,0.00,0,500000
300,Boston Public Schools,Fire Systems at Various Schools,Upgrade or replace fire alarms and/or fire protection systems at various schools.,Boston Public Schools,In Construction,Citywide,2500000,0,0,0,0,0,0.00,1250000,0,1250000.00,0.00,0,0,0.00,0,2500000
301,Boston Public Schools,Horace Mann School Relocation,Infrastructure improvements associated with relocation to accommodate specialized programmatic needs for students with hearing impairments.,Public Facilities Department,In Construction,Charlestown,46600000,0,0,0,0,0,1847874.00,17752126,26000000,1000000.00,0.00,0,0,0.00,0,46600000
302,Boston Public Schools,Josiah Quincy Upper School,Design and construct a new facility for the Josiah Quincy Upper School. The MSBA will partner with the City in the development and funding of this new school.,Public Facilities Department,In Construction,Chinatown,156515501,0,0,67075966,0,0,54665478.00,57350023,42000000,2500000.00,34517917.00,20000000,12558049,0.00,0,223591467
303,Boston Public Schools,Mandela Athletic Complex Locker Rooms,Renovate women's locker rooms for Madison Park Technical Vocational High School and the O'Bryant School of Mathematics and Science.,Public Facilities Department,In Construction,Roxbury,8030325,0,0,0,0,0,1546602.00,4483723,0,2000000.00,0.00,0,0,0.00,0,8030325
304,Boston Public Schools,Mattahunt School,Safety upgrades at the Mattahunt Elementary School and exterior lighting work at the BCYF Center walkway/entrance.,Public Facilities Department,In Design,Mattapan,1020000,24980000,0,0,0,0,15750.00,500000,2000000,23484250.00,0.00,0,0,0.00,0,26000000
305,Boston Public Schools,Quincy School Exterior Upgrades,"Repair masonry and replace roof, windows, and exterior doors.",Public Facilities Department,In Construction,Chinatown,21780705,0,0,0,0,0,1643964.00,12500000,5785000,1851741.00,0.00,0,0,0.00,0,21780705
306,Boston Public Schools,Radiator Covers at Various Schools,Replace radiator covers at various schools.,Boston Public Schools,Implementation Underway,Citywide,3000000,0,0,0,0,0,723499.00,750000,250000,1276501.00,0.00,0,0,0.00,0,3000000
307,Boston Public Schools,UP Academy Dorchester,Replace unit ventilators.,Public Facilities Department,In Construction,Dorchester,4600000,0,0,0,0,0,1048798.00,3301202,250000,0.00,0.00,0,0,0.00,0,4600000
308,Boston Public Schools,East Boston School Study,Study to design a future school facilities in East Boston.,Public Facilities Department,To Be Scheduled,East Boston,500000,0,0,0,0,0,0.00,0,0,500000.00,0.00,0,0,0.00,0,500000
309,Boston Public Schools,BPS Building Reprogramming,Upgrade building facilities to facilitate grade reconfigurations at various schools.,Boston Public Schools,Annual Program,Citywide,12010000,41990000,0,0,0,0,3386474.00,450000,1000000,49163526.00,0.00,0,0,0.00,0,54000000
310,Boston Public Schools,Exterior Grounds Improvements,"Improve landscaping, walkways, paving, and outdoor lighting and signage at various schools.",Boston Public Schools,Annual Program,Citywide,12250000,0,0,0,0,0,0.00,6675000,0,5575000.00,0.00,0,0,0.00,0,12250000
311,Boston Public Schools,21st Century Interior Improvements,"Improve interior spaces at various schools to promote a 21st century learning experience, including lighting, security, classroom technology, and wayfinding.",Boston Public Schools,Implementation Underway,Citywide,1000000,0,0,0,0,0,0.00,100000,0,900000.00,0.00,0,0,0.00,0,1000000
